---
title: Model Properties Table
hide-toc: true
---
# Model Properties Table

also see the [interactive model table](../_static/model_properties_table_interactive.html)
| name.default_alias                    | name.huggingface                                                                                                            | n_params.as_str   |   n_params.as_int |   cfg.n_params |   cfg.n_layers |   cfg.n_heads |   cfg.d_model |   cfg.d_vocab | cfg.act_fn        | cfg.positional_embedding_type   | cfg.parallel_attn_mlp   | cfg.original_architecture      | cfg.normalization_type   | tokenizer.name                              | tokenizer.class         | tokenizer.vocab_size   | tokenizer.vocab_hash         |
| gemma-2-2b                            | [google/gemma-2-2b](https://huggingface.co/google/gemma-2-2b)                                                               | 2.1B              |        2146959360 |     2146959360 |             26 |             8 |          2304 |        256000 | gelu_pytorch_tanh | rotary                          | False                   | Gemma2ForCausalLM              | RMS                      | google/gemma-2-2b                           | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-2-2b-it                         | [google/gemma-2-2b-it](https://huggingface.co/google/gemma-2-2b-it)                                                         | 2.1B              |        2146959360 |     2146959360 |             26 |             8 |          2304 |        256000 | gelu_pytorch_tanh | rotary                          | False                   | Gemma2ForCausalLM              | RMS                      | google/gemma-2-2b-it                        | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-2-9b                            | [google/gemma-2-9b](https://huggingface.co/google/gemma-2-9b)                                                               | 8.9B              |        8940158976 |     8940158976 |             42 |            16 |          3584 |        256000 | gelu_pytorch_tanh | rotary                          | False                   | Gemma2ForCausalLM              | RMS                      | google/gemma-2-9b                           | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-2-9b-it                         | [google/gemma-2-9b-it](https://huggingface.co/google/gemma-2-9b-it)                                                         | 8.9B              |        8940158976 |     8940158976 |             42 |            16 |          3584 |        256000 | gelu_pytorch_tanh | rotary                          | False                   | Gemma2ForCausalLM              | RMS                      | google/gemma-2-9b-it                        | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-2-27b                           | [google/gemma-2-27b](https://huggingface.co/google/gemma-2-27b)                                                             | 27B               |       26914848768 |    26914848768 |             46 |            32 |          4608 |        256000 | gelu_pytorch_tanh | rotary                          | False                   | Gemma2ForCausalLM              | RMS                      | google/gemma-2-27b                          | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-2-27b-it                        | [google/gemma-2-27b-it](https://huggingface.co/google/gemma-2-27b-it)                                                       | 27B               |       26914848768 |    26914848768 |             46 |            32 |          4608 |        256000 | gelu_pytorch_tanh | rotary                          | False                   | Gemma2ForCausalLM              | RMS                      | google/gemma-2-27b-it                       | GemmaTokenizerFast      | 256000.0               | 87mmm7o-5SoGMD05LzhcJdB_XBk= |
| gemma-3-270m                          | [google/gemma-3-270m](https://huggingface.co/google/gemma-3-270m)                                                           | 118M              |         117964800 |      117964800 |             18 |             4 |           640 |        262144 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForCausalLM              | RMS                      | google/gemma-3-270m                         | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-270m-it                       | [google/gemma-3-270m-it](https://huggingface.co/google/gemma-3-270m-it)                                                     | 118M              |         117964800 |      117964800 |             18 |             4 |           640 |        262144 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForCausalLM              | RMS                      | google/gemma-3-270m-it                      | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-1b-pt                         | [google/gemma-3-1b-pt](https://huggingface.co/google/gemma-3-1b-pt)                                                         | 744M              |         743768064 |      743768064 |             26 |             4 |          1152 |        262144 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForCausalLM              | RMS                      | google/gemma-3-1b-pt                        | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-1b-it                         | [google/gemma-3-1b-it](https://huggingface.co/google/gemma-3-1b-it)                                                         | 744M              |         743768064 |      743768064 |             26 |             4 |          1152 |        262144 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForCausalLM              | RMS                      | google/gemma-3-1b-it                        | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-4b-pt                         | [google/gemma-3-4b-pt](https://huggingface.co/google/gemma-3-4b-pt)                                                         | 3.4B              |        3386900480 |     3386900480 |             34 |             8 |          2560 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/gemma-3-4b-pt                        | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-4b-it                         | [google/gemma-3-4b-it](https://huggingface.co/google/gemma-3-4b-it)                                                         | 3.4B              |        3386900480 |     3386900480 |             34 |             8 |          2560 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/gemma-3-4b-it                        | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-12b-pt                        | [google/gemma-3-12b-pt](https://huggingface.co/google/gemma-3-12b-pt)                                                       | 12B               |       11513364480 |    11513364480 |             48 |            16 |          3840 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/gemma-3-12b-pt                       | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-12b-it                        | [google/gemma-3-12b-it](https://huggingface.co/google/gemma-3-12b-it)                                                       | 12B               |       11513364480 |    11513364480 |             48 |            16 |          3840 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/gemma-3-12b-it                       | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-27b-pt                        | [google/gemma-3-27b-pt](https://huggingface.co/google/gemma-3-27b-pt)                                                       | 27B               |       26963607552 |    26963607552 |             62 |            32 |          5376 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/gemma-3-27b-pt                       | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| gemma-3-27b-it                        | [google/gemma-3-27b-it](https://huggingface.co/google/gemma-3-27b-it)                                                       | 27B               |       26963607552 |    26963607552 |             62 |            32 |          5376 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/gemma-3-27b-it                       | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| medgemma-4b-pt                        | [google/medgemma-4b-pt](https://huggingface.co/google/medgemma-4b-pt)                                                       | 3.4B              |        3386900480 |     3386900480 |             34 |             8 |          2560 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      |                                             |                         |                        |                              |
| medgemma-4b-it                        | [google/medgemma-4b-it](https://huggingface.co/google/medgemma-4b-it)                                                       | 3.4B              |        3386900480 |     3386900480 |             34 |             8 |          2560 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      | google/medgemma-4b-it                       | GemmaTokenizerFast      | 262144.0               | 2IP2ztNB3h4hl-Wr3zXOCdRCk9k= |
| medgemma-27b-it                       | [google/medgemma-27b-it](https://huggingface.co/google/medgemma-27b-it)                                                     | 27B               |       26963607552 |    26963607552 |             62 |            32 |          5376 |        262208 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForConditionalGeneration | RMS                      |                                             |                         |                        |                              |
| medgemma-27b-text-it                  | [google/medgemma-27b-text-it](https://huggingface.co/google/medgemma-27b-text-it)                                           | 27B               |       26963607552 |    26963607552 |             62 |            32 |          5376 |        262144 | gelu_pytorch_tanh | rotary                          | False                   | Gemma3ForCausalLM              | RMS                      |                                             |                         |                        |                              |
| yi-6b                                 | [01-ai/Yi-6B](https://huggingface.co/01-ai/Yi-6B)                                                                           | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         64000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | 01-ai/Yi-6B                                 | LlamaTokenizerFast      | 63992.0                | VGXAFrTzytwGdUlX6AWH0NacncM= |
| yi-34b                                | [01-ai/Yi-34B](https://huggingface.co/01-ai/Yi-34B)                                                                         | 39B               |       38755368960 |    38755368960 |             60 |            56 |          7168 |         64000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | 01-ai/Yi-34B                                | LlamaTokenizerFast      | 64000.0                | VBBPi7l7j0Xrv93YNq1tizlalWw= |
| yi-6b-chat                            | [01-ai/Yi-6B-Chat](https://huggingface.co/01-ai/Yi-6B-Chat)                                                                 | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         64000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | 01-ai/Yi-6B-Chat                            | LlamaTokenizerFast      | 63992.0                | VGXAFrTzytwGdUlX6AWH0NacncM= |
| yi-34b-chat                           | [01-ai/Yi-34B-Chat](https://huggingface.co/01-ai/Yi-34B-Chat)                                                               | 39B               |       38755368960 |    38755368960 |             60 |            56 |          7168 |         64000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | 01-ai/Yi-34B-Chat                           | LlamaTokenizerFast      | 63992.0                | VGXAFrTzytwGdUlX6AWH0NacncM= |
| t5-small                              | [google-t5/t5-small](https://huggingface.co/google-t5/t5-small)                                                             | 19M               |          18874368 |       18874368 |              6 |             8 |           512 |         32128 | relu              | relative_positional_bias        | False                   | T5ForConditionalGeneration     | LN                       | google-t5/t5-small                          | T5TokenizerFast         | 32100.0                | jQeywCyCMVL_vza2wKfpuwjNVys= |
| t5-base                               | [google-t5/t5-base](https://huggingface.co/google-t5/t5-base)                                                               | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         32128 | relu              | relative_positional_bias        | False                   | T5ForConditionalGeneration     | LN                       | google-t5/t5-base                           | T5TokenizerFast         | 32100.0                | jQeywCyCMVL_vza2wKfpuwjNVys= |
| t5-large                              | [google-t5/t5-large](https://huggingface.co/google-t5/t5-large)                                                             | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         32128 | relu              | relative_positional_bias        | False                   | T5ForConditionalGeneration     | LN                       | google-t5/t5-large                          | T5TokenizerFast         | 32100.0                | jQeywCyCMVL_vza2wKfpuwjNVys= |
| mGPT                                  |                                                                                                                             | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |        100000 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | ai-forever/mGPT                             | GPT2TokenizerFast       | 100000.0               | 8j6CU_p3zgyeEBZ1Z3lu358tiy0= |
